name,age,team,position,TOI,season
Todd Bertuzzi,22,VAN,LW,366.3666666666667,1998
Dino Ciccarelli,37,2TM,RW,1057.9333333333334,1998
Dino Ciccarelli,37,TBL,RW,618.0333333333333,1998
Dino Ciccarelli,37,FLA,RW,439.9,1998
Greg Adams,34,DAL,LW,722.4666666666667,1998
BenoÃ®t Brunet,29,MTL,LW,1019.3666666666667,1998
Bill Houlder,30,SJS,D,1836.4,1998
Jarome Iginla,20,CGY,RW,1124.3833333333334,1998
Patrick Marleau,18,SJS,C,976.95,1998
Fredrik Modin,23,TOR,RW,855.0166666666667,1998
Sergei Berezin,26,TOR,LW,962.8333333333334,1998
Derian Hatcher,25,DAL,D,1701.3666666666666,1998
Phil Housley,33,WSH,D,1210.9166666666667,1998
JoÃ© Juneau,30,WSH,C,917.0666666666667,1998
Paul Kariya,23,MDA,LW,519.5,1998
Uwe Krupp,32,COL,D,1597.55,1998
Eric Lacroix,26,COL,LW,1103.75,1998
Jeff Shantz,24,CHI,C,881.4833333333333,1998
Tim Taylor,28,BOS,C,1285.3166666666666,1998
Dan McGillis,25,2TM,D,1774.0,1998
Dan McGillis,25,EDM,D,1481.55,1998
Dan McGillis,25,PHI,D,292.45,1998
Michal GroÅ¡ek,22,BUF,LW,994.5333333333333,1998
Jyrki Lumme,31,VAN,D,1716.4666666666667,1998
Mattias Ãhlund,21,VAN,D,1732.5333333333333,1998
Brian Rolston,24,NJD,LW,1326.2666666666667,1998
Marco Sturm,19,SJS,C,1030.9666666666667,1998
Viktor Kozlov,22,2TM,C,1002.1666666666666,1998
Viktor Kozlov,22,SJS,C,236.51666666666668,1998
Viktor Kozlov,22,FLA,C,765.65,1998
Todd Gill,32,2TM,D,1507.7833333333333,1998
Todd Gill,32,SJS,D,1284.5666666666666,1998
Todd Gill,32,STL,D,223.21666666666667,1998
Paul Coffey,36,PHI,D,1087.9333333333334,1998
Murray Craven,33,SJS,LW,1114.8833333333334,1998
StÃ©phane Matteau,28,SJS,LW,1071.9166666666667,1998
Derek Morris,19,CGY,D,1572.7333333333333,1998
Kirk Muller,31,FLA,C,1077.5166666666667,1998
Sergei Nemchinov,34,NYI,C,1276.4333333333334,1998
Scott Pellerin,28,STL,LW,1240.3666666666666,1998
Tim Sweeney,30,NYR,RW,690.45,1998
StÃ©phane Richer,31,2TM,LW,659.6833333333333,1998
StÃ©phane Richer,31,MTL,LW,156.93333333333334,1998
StÃ©phane Richer,31,TBL,LW,502.75,1998
