season,team,GF,GA,GP
2001,Philadelphia Flyers,240.0,207.0,82.0
2001,Pittsburgh Penguins,281.0,256.0,82.0
2001,New York Rangers,250.0,290.0,82.0
2001,New York Islanders,185.0,268.0,82.0
2001,Ottawa Senators,274.0,205.0,82.0
2001,Buffalo Sabres,218.0,184.0,82.0
2001,Toronto Maple Leafs,232.0,207.0,82.0
2001,Boston Bruins,227.0,249.0,82.0
2001,Montreal Canadiens,206.0,232.0,82.0
2001,Washington Capitals,233.0,211.0,82.0
2001,Carolina Hurricanes,212.0,225.0,82.0
2001,Florida Panthers,200.0,246.0,82.0
2001,Atlanta Thrashers,211.0,289.0,82.0
2001,Tampa Bay Lightning,201.0,280.0,82.0
2002,Detroit Red Wings,251.0,187.0,82.0
2002,St. Louis Blues,227.0,188.0,82.0
2002,Chicago Blackhawks,216.0,207.0,82.0
2002,Nashville Predators,196.0,230.0,82.0
2002,Columbus Blue Jackets,164.0,255.0,82.0
2002,Colorado Avalanche,212.0,169.0,82.0
2002,Vancouver Canucks,254.0,211.0,82.0
2002,Edmonton Oilers,205.0,182.0,82.0
2002,Calgary Flames,201.0,220.0,82.0
2002,Minnesota Wild,195.0,238.0,82.0
2002,San Jose Sharks,248.0,199.0,82.0
2002,Phoenix Coyotes,228.0,210.0,82.0
2002,Los Angeles Kings,214.0,190.0,82.0
2002,Dallas Stars,215.0,213.0,82.0
2002,Mighty Ducks of Anaheim,175.0,198.0,82.0
2002,Philadelphia Flyers,234.0,192.0,82.0
2002,New York Islanders,239.0,220.0,82.0
2002,New Jersey Devils,205.0,187.0,82.0
2002,New York Rangers,227.0,258.0,82.0
2002,Pittsburgh Penguins,198.0,249.0,82.0
2002,Boston Bruins,236.0,201.0,82.0
2002,Toronto Maple Leafs,249.0,207.0,82.0
2002,Ottawa Senators,243.0,208.0,82.0
2002,Montreal Canadiens,207.0,209.0,82.0
2002,Buffalo Sabres,213.0,200.0,82.0
2002,Carolina Hurricanes,217.0,217.0,82.0
2002,Washington Capitals,228.0,240.0,82.0
2002,Tampa Bay Lightning,178.0,219.0,82.0
2002,Florida Panthers,180.0,250.0,82.0
2002,Atlanta Thrashers,187.0,288.0,82.0
2003,Detroit Red Wings,269.0,203.0,82.0
2003,St. Louis Blues,253.0,222.0,82.0
2003,Chicago Blackhawks,207.0,226.0,82.0
2003,Nashville Predators,183.0,206.0,82.0
2003,Columbus Blue Jackets,213.0,263.0,82.0
2003,Colorado Avalanche,251.0,194.0,82.0
2003,Vancouver Canucks,264.0,208.0,82.0
2003,Minnesota Wild,198.0,178.0,82.0
2003,Edmonton Oilers,231.0,230.0,82.0
2003,Calgary Flames,186.0,228.0,82.0
2003,Dallas Stars,245.0,169.0,82.0
2003,Mighty Ducks of Anaheim,203.0,193.0,82.0
2003,Los Angeles Kings,203.0,221.0,82.0
2003,Phoenix Coyotes,204.0,230.0,82.0
2003,San Jose Sharks,214.0,239.0,82.0
2003,New Jersey Devils,216.0,166.0,82.0
2003,Philadelphia Flyers,211.0,166.0,82.0
2003,New York Islanders,224.0,231.0,82.0
2003,New York Rangers,210.0,231.0,82.0
2003,Pittsburgh Penguins,189.0,255.0,82.0
2003,Ottawa Senators,263.0,182.0,82.0
2003,Toronto Maple Leafs,236.0,208.0,82.0
2003,Boston Bruins,245.0,237.0,82.0
2003,Montreal Canadiens,206.0,234.0,82.0
2003,Buffalo Sabres,190.0,219.0,82.0
2003,Tampa Bay Lightning,219.0,210.0,82.0
2003,Washington Capitals,224.0,220.0,82.0
2003,Atlanta Thrashers,226.0,284.0,82.0
2003,Florida Panthers,176.0,237.0,82.0
2003,Carolina Hurricanes,171.0,240.0,82.0
2004,Detroit Red Wings,255.0,189.0,82.0
2004,St. Louis Blues,191.0,198.0,82.0
2004,Nashville Predators,216.0,217.0,82.0
2004,Columbus Blue Jackets,177.0,238.0,82.0
2004,Chicago Blackhawks,188.0,259.0,82.0
2004,Vancouver Canucks,235.0,194.0,82.0
2004,Colorado Avalanche,236.0,198.0,82.0
2004,Calgary Flames,200.0,176.0,82.0
2004,Edmonton Oilers,221.0,208.0,82.0
2004,Minnesota Wild,188.0,183.0,82.0
2004,San Jose Sharks,219.0,183.0,82.0
2004,Dallas Stars,194.0,175.0,82.0
2004,Los Angeles Kings,205.0,217.0,82.0
2004,Mighty Ducks of Anaheim,184.0,213.0,82.0
2004,Phoenix Coyotes,188.0,245.0,82.0
2004,Philadelphia Flyers,229.0,186.0,82.0
2004,New Jersey Devils,213.0,164.0,82.0
2004,New York Islanders,237.0,210.0,82.0
2004,New York Rangers,206.0,250.0,82.0
2004,Pittsburgh Penguins,190.0,303.0,82.0
2004,Boston Bruins,209.0,188.0,82.0
2004,Toronto Maple Leafs,242.0,204.0,82.0
2004,Ottawa Senators,262.0,189.0,82.0
2004,Montreal Canadiens,208.0,192.0,82.0
2004,Buffalo Sabres,220.0,221.0,82.0
2004,Tampa Bay Lightning,245.0,192.0,82.0
2004,Atlanta Thrashers,214.0,243.0,82.0
2004,Carolina Hurricanes,172.0,209.0,82.0
2004,Florida Panthers,188.0,221.0,82.0
2004,Washington Capitals,186.0,253.0,82.0
2006,Detroit Red Wings,305.0,209.0,82.0
2006,Nashville Predators,259.0,227.0,82.0
2006,Columbus Blue Jackets,223.0,279.0,82.0
2006,Chicago Blackhawks,211.0,285.0,82.0
2006,St. Louis Blues,197.0,292.0,82.0
2006,Calgary Flames,218.0,200.0,82.0
2006,Colorado Avalanche,283.0,257.0,82.0
2006,Edmonton Oilers,256.0,251.0,82.0
2006,Vancouver Canucks,256.0,255.0,82.0
2006,Minnesota Wild,231.0,215.0,82.0
2006,Dallas Stars,265.0,218.0,82.0
2006,San Jose Sharks,266.0,242.0,82.0
2006,Mighty Ducks of Anaheim,254.0,229.0,82.0
2006,Los Angeles Kings,249.0,270.0,82.0
2006,Phoenix Coyotes,246.0,271.0,82.0
2006,New Jersey Devils,242.0,229.0,82.0
2006,Philadelphia Flyers,267.0,259.0,82.0
2006,New York Rangers,257.0,215.0,82.0
2006,New York Islanders,230.0,278.0,82.0
2006,Pittsburgh Penguins,244.0,316.0,82.0
2006,Ottawa Senators,314.0,211.0,82.0
2006,Buffalo Sabres,281.0,239.0,82.0
2006,Montreal Canadiens,243.0,247.0,82.0
2006,Toronto Maple Leafs,257.0,270.0,82.0
2006,Boston Bruins,230.0,266.0,82.0
2006,Carolina Hurricanes,294.0,260.0,82.0
2006,Tampa Bay Lightning,252.0,260.0,82.0
2006,Atlanta Thrashers,281.0,275.0,82.0
2006,Florida Panthers,240.0,257.0,82.0
2006,Washington Capitals,237.0,306.0,82.0
2007,Detroit Red Wings,254.0,199.0,82.0
2007,Nashville Predators,272.0,212.0,82.0
2007,St. Louis Blues,214.0,254.0,82.0
2007,Columbus Blue Jackets,201.0,249.0,82.0
2007,Chicago Blackhawks,201.0,258.0,82.0
2007,Vancouver Canucks,222.0,201.0,82.0
2007,Minnesota Wild,235.0,191.0,82.0
2007,Calgary Flames,258.0,226.0,82.0
2007,Colorado Avalanche,272.0,251.0,82.0
2007,Edmonton Oilers,195.0,248.0,82.0
2007,Anaheim Ducks,258.0,208.0,82.0
2007,San Jose Sharks,258.0,199.0,82.0
2007,Dallas Stars,226.0,197.0,82.0
2007,Los Angeles Kings,227.0,283.0,82.0
2007,Phoenix Coyotes,216.0,284.0,82.0
2007,New Jersey Devils,216.0,201.0,82.0
2007,Pittsburgh Penguins,277.0,246.0,82.0
2007,New York Rangers,242.0,216.0,82.0
2007,New York Islanders,248.0,240.0,82.0
2007,Philadelphia Flyers,214.0,303.0,82.0
2007,Buffalo Sabres,308.0,242.0,82.0
2007,Ottawa Senators,288.0,222.0,82.0
2007,Toronto Maple Leafs,258.0,269.0,82.0
2007,Montreal Canadiens,245.0,256.0,82.0
2007,Boston Bruins,219.0,289.0,82.0
2007,Atlanta Thrashers,246.0,245.0,82.0
2007,Tampa Bay Lightning,253.0,261.0,82.0
2007,Carolina Hurricanes,241.0,253.0,82.0
2007,Florida Panthers,247.0,257.0,82.0
2007,Washington Capitals,235.0,286.0,82.0
2008,Detroit Red Wings,257.0,184.0,82.0
2008,Nashville Predators,230.0,229.0,82.0
2008,Chicago Blackhawks,239.0,235.0,82.0
2008,Columbus Blue Jackets,193.0,218.0,82.0
2008,St. Louis Blues,205.0,237.0,82.0
2008,Minnesota Wild,223.0,218.0,82.0
2008,Colorado Avalanche,231.0,219.0,82.0
2008,Calgary Flames,229.0,227.0,82.0
2008,Edmonton Oilers,235.0,251.0,82.0
2008,Vancouver Canucks,213.0,215.0,82.0
2008,San Jose Sharks,222.0,193.0,82.0
2008,Anaheim Ducks,205.0,191.0,82.0
2008,Dallas Stars,242.0,207.0,82.0
2008,Phoenix Coyotes,214.0,231.0,82.0
2008,Los Angeles Kings,231.0,266.0,82.0
2008,Pittsburgh Penguins,247.0,216.0,82.0
2008,New Jersey Devils,206.0,197.0,82.0
2008,New York Rangers,213.0,199.0,82.0
2008,Philadelphia Flyers,248.0,233.0,82.0
2008,New York Islanders,194.0,243.0,82.0
2008,Montreal Canadiens,262.0,222.0,82.0
2008,Ottawa Senators,261.0,247.0,82.0
2008,Boston Bruins,212.0,222.0,82.0
2008,Buffalo Sabres,255.0,242.0,82.0
2008,Toronto Maple Leafs,231.0,260.0,82.0
2008,Washington Capitals,242.0,231.0,82.0
2008,Carolina Hurricanes,252.0,249.0,82.0
2008,Florida Panthers,216.0,226.0,82.0
2008,Atlanta Thrashers,216.0,272.0,82.0
2008,Tampa Bay Lightning,223.0,267.0,82.0
2009,Detroit Red Wings,295.0,244.0,82.0
2009,Chicago Blackhawks,264.0,216.0,82.0
2009,St. Louis Blues,233.0,233.0,82.0
2009,Columbus Blue Jackets,226.0,230.0,82.0
2009,Nashville Predators,213.0,233.0,82.0
2009,Vancouver Canucks,246.0,220.0,82.0
2009,Calgary Flames,254.0,248.0,82.0
2009,Minnesota Wild,219.0,200.0,82.0
2009,Edmonton Oilers,234.0,248.0,82.0
2009,Colorado Avalanche,199.0,257.0,82.0
2009,San Jose Sharks,257.0,204.0,82.0
2009,Anaheim Ducks,245.0,238.0,82.0
2009,Dallas Stars,230.0,257.0,82.0
2009,Phoenix Coyotes,208.0,252.0,82.0
2009,Los Angeles Kings,207.0,234.0,82.0
2009,New Jersey Devils,244.0,209.0,82.0
2009,Pittsburgh Penguins,264.0,239.0,82.0
2009,Philadelphia Flyers,264.0,238.0,82.0
2009,New York Rangers,210.0,218.0,82.0
2009,New York Islanders,201.0,279.0,82.0
2009,Boston Bruins,274.0,196.0,82.0
2009,Montreal Canadiens,249.0,247.0,82.0
2009,Buffalo Sabres,250.0,234.0,82.0
2009,Ottawa Senators,217.0,237.0,82.0
2009,Toronto Maple Leafs,250.0,293.0,82.0
2009,Washington Capitals,272.0,245.0,82.0
2009,Carolina Hurricanes,239.0,226.0,82.0
2009,Florida Panthers,234.0,231.0,82.0
2009,Atlanta Thrashers,257.0,280.0,82.0
2009,Tampa Bay Lightning,210.0,279.0,82.0
2010,Chicago Blackhawks,271.0,209.0,82.0
2010,Detroit Red Wings,229.0,216.0,82.0
2010,Nashville Predators,225.0,225.0,82.0
2010,St. Louis Blues,225.0,223.0,82.0
2010,Columbus Blue Jackets,216.0,259.0,82.0
2010,Vancouver Canucks,272.0,222.0,82.0
2010,Colorado Avalanche,244.0,233.0,82.0
2010,Calgary Flames,204.0,210.0,82.0
2010,Minnesota Wild,219.0,246.0,82.0
2010,Edmonton Oilers,214.0,284.0,82.0
